,Surface,E0,Ebare,Eco,Eads,Iter
0,Fe_Zr2CO2,-454.21,-438.1,-14.78,-1.32,0
1,Fe_Hf3C2O2,-677.49,-660.89,-14.78,-1.83,0
2,Co_Hf4C3S2,-810.21,-793.98,-14.78,-1.45,0
3,Ta_Ti3C2O2,-610,-593.67,-14.78,-1.55,0
4,Fe_Hf2CO2,-483.96,-467.44,-14.78,-1.73,0
5,Au_Hf2CO2,-479.24,-462.66,-14.78,-1.8,0
6,Ta_Hf2CS2,-427.17,-410.5,-14.78,-1.89,0
7,Y_Hf2CS2,-424.4,-408.95,-14.78,-0.67,0
8,W_Hf3C2O2,-679.7,-662.94,-14.78,-1.97,0
9,Rh_Hf3C2O2,-675.87,-659.13,-14.78,-1.96,0
10,Re_Hf3C2S2,-620.05,-603.15,-14.78,-2.12,0
11,Mo_Hf3C2S2,-619.42,-602.82,-14.78,-1.81,0
12,Pd_Hf4C3O2,-869.02,-852.48,-14.78,-1.76,0
13,Co_Hf4C3O2,-870.61,-853.49,-14.78,-2.33,0
14,V_Hf4C3S2,-812.95,-796.64,-14.78,-1.54,0
15,Fe_Hf4C3S2,-811.39,-795.43,-14.78,-1.19,0
16,Ta_Ti2CO2,-437.05,-420.76,-14.78,-1.51,0
17,Ti_Ti2CO2,-434.96,-419.1,-14.78,-1.08,0
18,Mo_Ti2CS2,-379.06,-362.42,-14.78,-1.86,0
19,Mn_Ti2CS2,-377.76,-361.9,-14.78,-1.09,0
20,Cu_Ti3C2O2,-601.54,-585.01,-14.78,-1.75,0
21,Os_Ti3C2O2,-605.62,-588.72,-14.78,-2.12,0
22,Nb_Ti3C2S2,-551.91,-535.48,-14.78,-1.65,0
23,Ta_Ti3C2S2,-553.38,-536.64,-14.78,-1.97,0
24,Ru_Ti4C3O2,-778.55,-762.22,-14.78,-1.55,0
25,Nb_Ti4C3O2,-781.91,-765.59,-14.78,-1.54,0
26,Ta_Ti4C3S2,-726.6,-709.84,-14.78,-1.98,0
27,Ir_Ti4C3S2,-722.37,-706.13,-14.78,-1.46,0
28,Ag_Zr2CO2,-448.88,-432.98,-14.78,-1.12,0
29,Os_Zr2CO2,-455.2,-437.89,-14.78,-2.53,0
30,Nb_Zr2CS2,-398.89,-382.56,-14.78,-1.54,0
31,Au_Zr2CS2,-390.98,-374.56,-14.78,-1.63,0
32,Hf_Zr3C2O2,-637.26,-621.3,-14.78,-1.17,0
33,Ni_Zr3C2O2,-631.36,-614.7,-14.78,-1.88,0
34,Pt_Zr3C2S2,-573.43,-557.41,-14.78,-1.24,0
35,Ti_Zr3C2S2,-577.62,-561.62,-14.78,-1.21,0
36,Sc_Zr4C3O2,-815.16,-799.58,-14.78,-0.8,0
37,Zr_Zr4C3O2,-816.19,-800.33,-14.78,-1.08,0
38,Ni_Zr4C3S2,-753.6,-737.58,-14.78,-1.23,0
39,Cr_Zr4C3S2,-757.83,-741.88,-14.78,-1.17,0
40,V_Hf2CO2,-484.36,-468.19,-14.78,-1.39,1
41,Zr_Zr2CO2,-455.72,-439.78,-14.78,-1.17,1
42,Au_Ti2CO2,-428.6,-411.02,-14.78,-2.8,1
43,Pt_Hf2CO2,-482.96,-464.73,-14.78,-3.45,1
44,Mn_Ti2CO2,-434.37,-418.4,-14.78,-1.19,1
45,Ir_Zr2CO2,-453.96,-436.62,-14.78,-2.56,1
46,Cr_Ti2CO2,-434.97,-418.66,-14.78,-1.52,1
47,Rh_Zr4C3O2,-812.55,-795.81,-14.78,-1.96,1
48,Ta_Hf3C2O2,-680.29,-663.77,-14.78,-1.74,1
49,Ag_Hf2CO2,-478.31,-462.46,-14.78,-1.07,1
50,Ag_Ti3C2S2,-543.84,-527.99,-14.78,-1.07,2
51,Ti_Hf2CO2,-484.22,-468.16,-14.78,-1.28,2
52,Ir_Hf2CO2,-483.59,-466.04,-14.78,-2.77,2
53,Ta_Hf4C3O2,-874.81,-858.26,-14.78,-1.77,2
54,Cu_Zr2CS2,-392.15,-376.31,-14.78,-1.06,2
55,Pd_Hf2CS2,-420.26,-404.27,-14.78,-1.2,2
56,Co_Ti2CO2,-431.88,-415.42,-14.78,-1.68,2
57,Pt_Ti2CS2,-374.54,-357.66,-14.78,-2.1,2
58,Ni_Hf2CS2,-421.2,-405.07,-14.78,-1.35,2
59,W_Zr2CS2,-400.36,-383.45,-14.78,-2.13,2
60,Ir_Ti2CO2,-432.09,-414.50,-14.78,-2.81,3
61,Pt_Ti3C2S2,-547.36,-530.60,-14.78,-1.97,3
62,Au_Ti2CS2,-371.31,-354.71,-14.78,-1.82,3
63,Pt_Hf2CS2,-420.97,-404.70,-14.78,-1.49,3
64,Pt_Hf3C2S2,-614.47,-598.35,-14.78,-1.34,3
65,Pt_Zr2CS2,-393.96,-377.79,-14.78,-1.38,3
66,Sc_Ti2CS2,-377.22,-361.67,-14.78,-0.77,3
67,Pd_Hf2CO2,-481.60,-465.07,-14.78,-1.76,3
68,Au_Hf2CS2,-418.13,-401.51,-14.78,-1.84,3
69,Pd_Zr2CS2,-393.24,-377.33,-14.78,-1.13,3